127.0.0.1 - - [15/Feb/2016:14:56:26 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:07 +0530] "GET /FlipWeb/ HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:07 +0530] "GET /FlipWeb/css/main.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:07 +0530] "GET /FlipWeb/css/images/HD.jpg HTTP/1.1" 200 309956
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:11 +0530] "GET /FlipWeb/jsp/register.jsp HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:11 +0530] "GET /FlipWeb/css/login.css HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:11 +0530] "GET /FlipWeb/js/script.js HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:11 +0530] "GET /FlipWeb/css/images/HD1.jpg HTTP/1.1" 200 903243
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:13 +0530] "GET /FlipWeb/jsp/men.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:14 +0530] "GET /FlipWeb/index.jsp HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:15 +0530] "GET /FlipWeb/jsp/women.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:16 +0530] "GET /FlipWeb/jsp/register.jsp HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:41 +0530] "POST /FlipWeb/UserResgistration HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:58:43 +0530] "GET /FlipWeb/women.jsp HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:59:37 +0530] "GET /FlipWeb/register.jsp HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:59:40 +0530] "GET /FlipWeb/login.jsp HTTP/1.1" 404 985
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:59:56 +0530] "POST /FlipWeb/UserResgistration HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [15/Feb/2016:14:59:56 +0530] "GET /FlipWeb/css/login.css HTTP/1.1" 304 -
